code,content
1301,"1301
다른 류에 해당하는 물품에서 제1301호에 해당하는 물품으로 변경된 것
1302.11 –"
1302.14,"1302.14
다른 류에 해당하는 물품에서 제1302.11호 내지 제1302.14호에 해당하는 물품으로 변경된 것"
1302.19,"1302.19
다른 류에 해당하는 물품(제1211.20호의 것을 제외한다)에서 제1302.19호에 해당하는 물품으로 변경된
것
1302.20 –"
1302.32,"1302.32
다른 류에 해당하는 물품에서 제1302.20호 내지 제1302.32호에 해당하는 물품으로 변경된 것"
1302.39,"1302.39
제1302.39호 또는 다른 류에 해당하는 물품에서 제1302.39호 카라기난에 해당하는 물품으로 변경된 것.
다만, 제1302.39호에 해당하는 비원산지 재료가 중량으로 그 상품의 50퍼센트를 초과하지 아니한 것에
한한다.
다른 류에 해당하는 물품에서 제1302.39호에 해당하는 그 밖의 상품으로 변경된 것
제14류
식물성 편조물용 재료와 다른 류에 분류되지 아니한 식물성 생산품"
1401-1404,"1401-1404
다른 류에 해당하는 물품에서 제1401호 내지 제1404호에 해당하는 물품으로 변경된 것
제3부
동식물성 유지 및 이들의 분해생산물, 조제식용지와 동식물성의 납 (제15류)
제15류
동식물성 유지 및 이들의 분해생산물, 조제식용지와 동식물성의 납"
1501-1518,"1501-1518
다른 류에 해당하는 물품에서 제1501호 내지 제1518호에 해당하는 물품으로 변경된 것"
1520,"1520
다른 호에 해당하는 물품에서 제1520호에 해당하는 물품으로 변경된 것"
1521-1522,"1521-1522
다른 류에 해당하는 물품에서 제1521호 내지 제1522호에 해당하는 물품으로 변경된 것
제4부
조제식료품과 음료·알코올·식초 및 담배와 제조한 담배 대용물 (제16류-제24류)
제16류
육류·어류·갑각류·연체동물 또는 기타 수생 무척추동물의 조제품"
1601-1603,"1601-1603
다른 류에 해당하는 물품에서 제1601호 내지 제1603호에 해당하는 물품으로 변경된 것
1604.11 –"
1604.13,"1604.13
다른 류에 해당하는 물품에서 제1604.11호 내지 제1604.13호에 해당하는 물품으로 변경된 것"
1604.14,"1604.14
다른 류에 해당하는 물품(제3류의 것을 제외한다)에서 제1604.14호에 해당하는 물품으로 변경된 것
1604.15 –"
1604.30,"1604.30
다른 류에 해당하는 물품에서 제1604.15호 내지 제1604.30호에 해당하는 물품으로 변경된 것"
1605,"1605
다른 류의 물품에서 제1605호에 해당하는 물품으로 변경된 것
제17류
당류와 설탕과자"
1701 – 1703,"1701 – 1703
다른 류에 해당하는 물품에서 제1701호 내지 제1703호에 해당하는 물품으로 변경된 것"
1704,"1704
다른 호에 해당하는 물품에서 제1704호에 해당하는 물품으로 변경된 것
제18류
코코아와 그 조제품"
1801-1802,"1801-1802
다른 류에 해당하는 물품에서 제1801호 내지 제1802호에 해당하는 물품으로 변경된 것"
1803 – 1805,"1803 – 1805
다른 호에 해당하는 물품에서 제1803호 내지 제1805호에 해당하는 물품으로 변경된 것"
1806.10,"1806.10
다른 호에 해당하는 물품에서 제1806.10호에 해당하는 물품으로 변경된 것. 다만, 건조 중량으로 설탕을
90퍼센트 이상 포함하는 제1806.10호에 해당하는 상품은 제17류의 비원산지 설탕을 포함할 수 없으며,
건조 중량으로 설탕을 90퍼센트 미만 포함하는 제1806.10호에 해당하는 상품은 제17류의 비원산지 설
탕을 중량으로 35퍼센트 이하 포함한 것에 한한다."
1806.20,"1806.20
다른 호에 해당하는 물품에서 제1806.20호에 해당하는 물품으로 변경된 것
1806.31 –"
1806.90,"1806.90
다른 소호에 해당하는 물품에서 제1806.31호 내지 제1806.90호에 해당하는 물품으로 변경된 것
제19류
곡물·분·전분 또는 밀크의 조제품과 베이커리 제품"
1901.10,"1901.10
다른 류에 해당하는 물품(제1006호, 제1102.30호 및 제1103.19호ㆍ제1103.20호ㆍ제1104.19호ㆍ제
1104.29호 및 제1104.30호에 해당하는 쌀제품의 것을 제외한다)에서 제1901.10호에 해당하는 물품으
로 변경된 것. 다만, 우유고형분을 중량으로 10퍼센트 초과 포함하는 제1901.10호에 해당하는 상품은 제
4류의 비원산지 낙농품을 포함하지 아니한 것에 한한다."
1901.20,"1901.20
다른 류에 해당하는 물품(제1006호, 제1102.30호 및 제1103.19호ㆍ제1103.20호ㆍ제1104.19호ㆍ제
1104.29호 및 제1104.30호에 해당하는 쌀제품의 것을 제외한다)에서 제1901.20호에 해당하는 물품으
로 변경된 것. 다만, 버터지를 중량으로 25퍼센트 초과 포함하며 소매용이 아닌 제1901.20호에 해당하는
상품은 제4류의 비원산지 낙농품을 포함하지 아니한 것에 한한다."
1901.90,"1901.90
다른 류에 해당하는 물품(제1006호, 제1102.30호 및 제1103.19호ㆍ제1103.20호ㆍ제1104.19호ㆍ제
1104.29호 및 제1104.30호에 해당하는 쌀제품의 것을 제외한다)에서 제1901.90호에 해당하는 물품으
로 변경된 것. 다만, 우유고형분을 중량으로 10퍼센트 초과 포함하는 제1901.90호에 해당하는 상품은 제
4류의 비원산지 낙농품을 포함하지 아니한 것에 한한다.
1902 – 1904.30 다른 류에 해당하는 물품에서 제1902호 내지는 제1904.30호에 해당하는 물품으로 변경된 것"
1904.90,"1904.90
다른 류에 해당하는 물품(제1006호에 해당하는 물품을 제외한다)에서 제1904.90호에 해당하는 물품으
로 변경된 것"
1905,"1905
다른 류에 해당하는 물품에서 제1905호에 해당하는 물품으로 변경된 것
제20류
채소·과실·견과류 또는 식물의 기타 부분의 조제품
주
냉동하거나, 물ㆍ간수 또는 천연 쥬스에 넣어 포장(캔포장 포함)하거나, 또는 건조상태 또는 기름에 넣어
볶아서 조제 또는 저장 처리한(냉동, 포장 또는 볶음의 부수적인 공정을 포함한다) 제2001호 내지 제
2008호에 해당하는 과실ㆍ견과류 및 채소 조제품은 신선 상품이 전적으로 어느 한 쪽 또는 양 당사국의
영역 내에서 완전하게 획득되거나 생산된 상품인 경우에만 원산지 상품으로 취급된다. 더욱이, 복숭아,
배 또는 살구가 단독으로 또는 다른 과실과 혼합되어 포함되어 있는 제2008호에 해당하는 과실 조제품
은 복숭아, 배 또는 살구가 전적으로 어느 한 쪽 또는 양 당사국의 영역 내에서 완전하게 획득되거나 생
산된 상품인 경우에만 원산지 상품으로 취급된다."
2001 – 2007,"2001 – 2007
다른 류에 해당하는 물품(제20류 주에 규정된 것과 제0701호에 해당하는 물품을 제외한다)에서 제2001
호 내지 제2007호에 해당하는 물품으로 변경된 것"
2008.11,"2008.11
다른 류에 해당하는 물품(제1202호에 해당하는 물품을 제외한다)에서 제2008.11호에 해당하는 물품으
로 변경된 것
2008.19 –"
2008.99,"2008.99
다른 류에 해당하는 물품(제20류 주에 규정된 것을 제외한다)에서 제2008.19호 내지 제2008.99호에 해
당하는 물품으로 변경된 것
2009.11-"
2009.39,"2009.39
다른 류에 해당하는 물품(제0805호에 해당하는 물품을 제외한다)에서 제2009.11호 내지 제2009.39호
에 해당하는 물품으로 변경된 것
2009.41 -"
2009.80,"2009.80
다른 류에 해당하는 물품에서 제2009.41호 내지 제2009.80호에 해당하는 물품으로 변경된 것"
2009.90,"2009.90
다른 류에 해당하는 물품에서 제2009.90호에 해당하는 물품으로 변경된 것, 또는
다른 류에 해당하는 물품에서 변경 여부와 관계없이 제20류 내 다른 소호에 해당하는 물품(제2009.11호
내지 제2009.39호에 해당하는 물품 또는 제2009.80호에 해당하는 크랜베리 쥬스를 제외한다)에서 제
2009.90호에 해당하는 크랜베리 쥬스 혼합물로 변경된 것. 다만, 아래의 역내 부가가치가 발생한 것에
한한다.
   가. 집적법으로 35퍼센트 이상, 또는
   나. 공제법으로 45퍼센트 이상, 또는
다른 류에 해당하는 물품에서 변경 여부와 관계없이 제20류 내 다른 소호에 해당하는 물품에서 제
2009.90호에 해당하는 그 밖의 상품으로 변경된 것. 다만, 하나의 비당사국의 단일 쥬스 성분 또는 쥬스
성분들이 원액으로 그 상품의 부피를 기준으로 60퍼센트 이하로 구성된 것에 한한다.
제21류
각종의 조제식료품"
2101-2102,"2101-2102
다른 류에 해당하는 물품에서 제2101호 내지 제2102호에 해당하는 물품으로 변경된 것"
2103.10,"2103.10
다른 류에 해당하는 물품에서 제2103.10호에 해당하는 물품으로 변경된 것"
2103.20,"2103.20
다른 류에 해당하는 물품에서 제2103.20호에 해당하는 물품으로 변경된 것. 다만, 제2103.20호에 해당
하는 토마토 케첩은 제2002.90호에 해당하는 비원산지 상품을 포함하지 아니한 것에 한한다."
2103.30,"2103.30
다른 류에 해당하는 물품에서 제2103.30호에 해당하는 물품으로 변경된 것"
2103.90,"2103.90
다른 호에 해당하는 물품에서 제2103.90호에 해당하는 물품으로 변경된 것"
2104,"2104
다른 류에 해당하는 물품에서 제2104호에 해당하는 물품으로 변경된 것"
2105,"2105
다른 호에 해당하는 물품(제0401호 내지 제0405호에 해당하는 물품과 제1901.90호에 해당하는 우유 고
형분을 중량으로 10퍼센트 초과 포함하는 낙농조제품을 제외한다)에서 제2105호에 해당하는 물품으로
변경된 것"
2106,"2106
다른 류에 해당하는 물품(제0805호, 제2009호 또는 제2202.90호에 해당하는 것을 제외한다)에서 제
2106.90호에 해당하는 비타민 또는 무기질로 강화된 단일 과실 또는 채소의 농축쥬스로 변경된 것
다음으로부터 제2106.90호에 해당하는 비타민 또는 무기질로 강화된 혼합쥬스로 변경된 것:
   가. 다른 류에 해당하는 물품(제2202.90호에 해당하는 혼합쥬스, 제0805호 또는 제2009호에 해당하
는 물품을 제외한다), 또는
   나. 다른 류에 해당하는 물품에서 변경 여부와 관계없이, 제21류 내 다른 소호에 해당하는 물품, 제
2009호에 해당하는 물품, 또는 제2202.90호에 해당하는 혼합 쥬스. 다만, 하나의 비당사국의 단일 과실
또는 채소쥬스 또는 쥬스 성분(들)이 원액으로 그 상품의 부피를 기준으로 60퍼센트 이하로 구성된 것에
한한다.
다른 소호에 해당하는 물품(제2203호 내지 제2209호에 해당하는 물품을 제외한다)에서 제2106.90호에
해당하는 알콜성 합성 조제품으로 변경된 것,
다른 류에 해당하는 물품(제17류에 해당하는 물품을 제외한다)에서 제2106.90호에 해당하는 당시럽으
로 변경된 것,
다른 류에 해당하는 물품(제4류에 해당하는 물품 또는 제1901.90호에 해당하는 우유 고형분을 중량으로
10퍼센트 초과 포함하는 낙농조제품을 제외한다)에서 제2106.90호에 해당하는 우유 고형분을 중량으로
10퍼센트 초과 포함하는 상품으로 변경된 것, 또는
다른 류에 해당하는 물품(제20류에 해당하는 물품을 제외한다)에서 제2106.90호에 해당하는 과실을 중
량으로 20퍼센트 초과 포함하고 젤라틴에 넣은 과실로 변경된 것, 또는
다른 호에 해당하는 물품(제1211.20호 및 제1302.19호에 해당하는 물품을 제외한다)에서 제2106.90호
에 해당하는 인삼 조제품으로 변경된 것
다른 류에 해당하는 물품에서 제2106호에 해당하는 그 밖의 상품으로 변경된 것
제22류
음료·알코올 및 식초"
2201,"2201
다른 류에 해당하는 물품에서 제2201호에 해당하는 물품으로 변경된 것"
2202.10,"2202.10
다른 류에 해당하는 물품에서 제2202.10호에 해당하는 물품으로 변경된 것"
2202.90,"2202.90
다른 류에 해당하는 물품(제2106.90호에 해당하는 농축쥬스, 제0805호 또는 제2009호에 해당하는 물품
을 제외한다)에서 제2202.90호에 해당하는 비타민 또는 무기질로 강화된 단일 과실 또는 채소 쥬스로 변
경된 것
다음으로부터 제2202.90호에 해당하는 비타민 또는 무기질로 강화된 혼합쥬스로 변경된 것:
가. 다른 류에 해당하는 물품(제2106.90호에 해당하는 혼합쥬스, 제0805호 또는 제2009호에 해당하는
물품을 제외한다), 또는
나. 다른 류에 해당하는 물품에서 변경 여부와 관계없이, 제22류 내의 다른 소호에 해당하는 물품, 제
2009호에 해당하는 물품, 또는 제2106.90호에 해당하는 혼합 쥬스. 다만, 하나의 비당사국에서 생산된
단일 과실 또는 채소쥬스 또는 쥬스 성분(들)이 원액으로 그 상품의 부피를 기준으로 60퍼센트 이하로
구성된 것에 한한다.
다른 류에 해당하는 물품(제4류에 해당하는 물품 또는 제1901.90호에 해당하는 우유 고형분을 중량으로
10퍼센트 초과 포함하는 낙농조제품의 것을 제외한다)에서 우유가 포함된 음료로 변경된 것, 또는
다른 호에 해당하는 물품(제1211.20호와 제1302.19호에 해당하는 물품을 제외한다)에서 제2202.90호
에 해당하는 인삼 조제품으로 변경된 것
다른 류에 해당하는 물품에서 제2202.90호에 해당하는 그 밖의 상품으로 변경된 것"
2203-2205,"2203-2205
다른 류에 해당하는 물품(제2106.90호에 해당하는 알콜성 합성 조제품의 것을 제외한다)에서 제2203호
내지 제2205호에 해당하는 물품으로 변경된 것"
2206,"2206
다른 호에 해당하는 물품에서 제2206호에 해당하는 청주로 변경된 것, 또는
다른 류에 해당하는 물품(제2106.90호에 해당하는 알콜성 합성 조제품의 것을 제외한다)에서 제2206호
에 해당하는 그 밖의 상품으로 변경된 것"
2207,"2207
다른 류에 해당하는 물품(제2106.90호에 해당하는 알콜성 합성 조제품의 것을 제외한다)에서 제2207호
에 해당하는 물품으로 변경된 것"
2208,"2208
다른 호에 해당하는 물품에서 제2208.90에 해당하는 소주로 변경된 것, 또는
다른 류에 해당하는 물품(제2106.90호에 해당하는 알콜성 합성 조제품의 것을 제외한다)에서 제2208호
에 해당하는 그 밖의 상품으로 변경된 것"
2209,"2209
다른 호에 해당하는 물품에서 제2209호에 해당하는 물품으로 변경된 것
제23류
식품공업에서 생기는 잔재물 및 웨이스트와 조제사료"
2301-2308,"2301-2308
다른 류에 해당하는 물품에서 제2301호 내지 제2308호에 해당하는 물품으로 변경된 것"
2309.10,"2309.10
다른 호에 해당하는 물품에서 제2309.10호에 해당하는 물품으로 변경된 것"
2309.90,"2309.90
다른 호에 해당하는 물품(제0401호 내지 제0405호 또는 제1901.90호에 해당하는 물품을 제외한다)에
서 제2309.90호에 해당하는 물품으로 변경된 것
제24류
담배와 제조한 담배대용물"
2401,"2401
다른 류에 해당하는 물품에서 제2401호에 해당하는 물품으로 변경된 것"
2402,"2402
다른 류에 해당하는 물품에서 또는 제2401호에 해당하고 제맥분리공정 또는 그와 비슷한 과정을 거치지
아니한 래퍼담배에서, 또는 제2403호에 해당하고 래퍼담배로 사용되기 적합한 균질화 또는 재구성한 담
배에서 제2402호에 해당하는 물품으로 변경된 것
주
아래에 규정된 연간 수량 제한을 조건으로, 각 당사국은 제2401호에 해당하는 비원산지 담배를 포함하
고 있는 제2402.20호에 해당하는 상품을 원산지 물품으로 취급한다. 다만,
   가. 미국에서 재배되고 수확된 제2401호에 해당하는 잎담배가 그러한 상품에 포함된 담배 중 중량으
로 30퍼센트 이상을 구성하는 것에 한한다. 또는,
   나.  제2401호에 해당하는 원산지 잎담배가 그러한 상품에 포함된 담배 중 중량으로 60퍼센트 이상을
구성하는 것에 한한다.
7년차에 규정된 수량 제한은 그 후의 모든 연도에 적용된다.
       연도     수량(백만 개피)
          1          1,100
          2          1,350
          3          1,600
          4          1,850
          5          2,100
          6          2,300
          7          2,500"
2403,"2403
다른 호에 해당하는 물품에서 제2403.91호에 해당하는 시가 겉잎용 균질화 또는 재구성한 담배로 변경
된 것, 또는
다른 류에 해당하는 물품에서 제2403호에 해당하는 그 밖의 상품으로 변경된 것
제5부
광물성 생산물(제25류-제27류)
제25류
소금, 황, 토석류 및 석고·석회와 시멘트"
2501 – 2516,"2501 – 2516
다른 호에 해당하는 물품에서 제2501호 내지 제2516호에 해당하는 물품으로 변경된 것
2517.10 –"
2517.20,"2517.20
다른 호에 해당하는 물품에서 제2517.10호 내지 제2517.20호에 해당하는 물품으로 변경된 것"
2517.30,"2517.30
다른 소호에 해당하는 물품에서 제2517.30호에 해당하는 물품으로 변경된 것
2517.41 –"
2517.49,"2517.49
다른 호에 해당하는 물품에서 제2517.41호 내지 제2517.49호에 해당하는 물품으로 변경된 것"
2518 – 2522,"2518 – 2522
다른 호에 해당하는 물품에서 제2518호 내지 제2522호에 해당하는 물품으로 변경된 것"
2523,"2523
다른 류에 해당하는 물품에서 제2523호에 해당하는 물품으로 변경된 것"
2524 – 2530,"2524 – 2530
다른 호에 해당하는 물품에서 제2524호 내지 제2530호에 해당하는 물품으로 변경된 것
제26류
광·슬랙 및 회"
2601 – 2621,"2601 – 2621
다른 호에 해당하는 물품에서 제2601호 내지 제2621호에 해당하는 물품으로 변경된 것
제27류
광물성 연료, 광물유와 이들의 증류물, 역청물질 및 광물성 왁스
주
이 류의 목적상, '화학반응'이란 분자내 결합이 깨지고 새로운 분자내 결합 생성에 의하거나 분자내 원자
의 공간배열을 변경함으로써 새로운 구조를 가진 분자가 되는 공정(생화학 공정을 포함한다)을 말한다.
다음 사항들은 이 정의의 목적상 화학 반응으로 간주하지 아니한다.
   가. 물 또는 다른 용제에 용해 된 것
   나. 용제(용매물을 포함한다)의 제거, 또는
   다. 결정수의 첨가 또는 제거
제2710호의 목적상, 다음 공정들은 원산지의 지위를 부여한다.
   가. 상압증류법: 석유가 증류탑에서 끓는점에 따라 분획된 후 그 증기가 응축하여 상이한 액화 분획물
이 되는 분리공정
   나. 감압증류법: 분자증류법보다 낮지 않지만, 대기압 보다 낮은 압력에서 증류"
2701-2706,"2701-2706
다른 호에 해당하는 물품에서 제2701호 내지 제2706호에 해당하는 물품으로 변경된 것
2707.10 –"
2707.99,"2707.99
다른 호에 해당하는 물품에서 제2707.10호 내지 제2707.99호에 해당하는 물품으로 변경된 것, 또는
다른 소호에 해당하는 물품에서 제2707.10호 내지 제2707.99호에 해당하는 물품으로 변경된 것. 다만,
화학 반응 결과로 인해 변경된 상품에 한한다."
2708-2709,"2708-2709
다른 호에 해당하는 물품에서 제2708호 내지 제2709호에 해당하는 물품으로 변경된 것"
2710,"2710
제2710호에 해당하는 다른 상품에서 제2710호에 해당하는 상품으로 변경된 것. 다만, 화학반응, 상압증
류법, 또는 감압증류법의 결과로 인해 변경된 상품에 한한다, 또는
다른 호에 해당하는 물품(제2207호에 해당하는 물품을 제외한다)에서 제2710호에 해당하는 물품으로
변경된 것"
2711.11,"2711.11
다른 소호에 해당하는 물품(제2711.21호에 해당하는 물품을 제외한다)에서 제2711.11호에 해당하는 물
품으로 변경된 것
2711.12 –"
2711.19,"2711.19
다른 소호에 해당하는 물품(제2711.29호에 해당하는 물품을 제외한다)에서 제2711.12호 내지 제
2711.19호에 해당하는 물품으로 변경된 것"
2711.21,"2711.21
다른 소호에 해당하는 물품(제2711.11호에 해당하는 물품을 제외한다)에서 제2711.21호에 해당하는 물
품으로 변경된 것"
2711.29,"2711.29
다른 소호에 해당하는 물품(제2711.12호 내지 제2711.21호에 해당하는 물품을 제외한다)에서 제
2711.29호에 해당하는 물품으로 변경된 것"
